Agency,Region,lake,LFENZID,Hydrological Year,TLI,MixingPattern,GeomorphicType
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2010,5.6,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2010,5.6,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2011,5.5,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2011,5.5,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2011,5.5,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2012,5.2,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2012,5.2,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2012,5.2,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2013,5.2,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2013,5.2,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2013,5.2,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2013,5.3,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2013,5.3,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2013,5.3,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2014,5.6,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2014,5.6,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2014,5.6,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2014,5.7,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2014,5.7,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2014,5.7,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2015,4.6,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2015,4.6,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2015,4.6,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2015,5.1,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2015,5.1,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2015,5.1,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2015,5.2,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2015,5.2,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2015,5.2,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2016,5,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2016,5,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2016,5,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2016,5.3,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2016,5.3,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2016,5.3,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2016,5.4,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2016,5.4,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2016,5.4,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2017,5,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2017,5,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2017,5,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2017,5.4,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2017,5.4,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2017,5.4,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2018,5.4,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2018,5.4,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2018,5.4,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2018,5.5,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2018,5.5,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2018,5.5,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2018,5.6,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2018,5.6,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2018,5.6,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2019,5.2,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2019,5.2,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2019,5.2,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2019,5.3,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2019,5.3,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2019,5.3,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2020,5.3,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2020,5.3,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2020,5.3,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2020,5.6,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2020,5.6,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2020,5.6,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2021,5.2,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2021,5.2,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2021,5.2,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2021,5.4,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2021,5.4,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2021,5.4,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2021,5.6,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2021,5.6,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2021,5.6,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2022,5.3,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2022,5.3,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2022,5.3,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Site 2,1708,2022,5.4,Polymictic,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Alsops Bay,1708,2022,5.4,Brackish,Riverine
Greater Wellington Regional Council,wellington,Lake Wairarapa Middle,1708,2022,5.4,Polymictic,Riverine
Hawke's Bay Regional Council,hawkes bay,Lake Opouahi Top,32478,2008,3.8,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Opouahi Top,32478,2009,3.7,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Opouahi Top,32478,2010,3.6,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Opouahi Top,32478,2011,4,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Opouahi Top,32478,2012,3.5,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Opouahi Top,32478,2013,3.5,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Opouahi Top,32478,2014,3.6,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Opouahi Top,32478,2015,3.4,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Opouahi Top,32478,2016,3.7,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Opouahi Top,32478,2017,4.1,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Opouahi Top,32478,2018,4.4,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Opouahi Top,32478,2019,5.3,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Opouahi Top,32478,2020,4.2,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Opouahi Top,32478,2021,4.7,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Opouahi Top,32478,2022,4.8,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Whakaki at Outlet,34665,2015,8.1,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 2nd Bluff,34665,2015,8.1,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 1st Bluff,34665,2015,8.1,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki at Outlet,34665,2015,8.2,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 2nd Bluff,34665,2015,8.2,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 1st Bluff,34665,2015,8.2,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki at Outlet,34665,2016,7.3,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 2nd Bluff,34665,2016,7.3,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 1st Bluff,34665,2016,7.3,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki at Outlet,34665,2017,7.2,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 2nd Bluff,34665,2017,7.2,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 1st Bluff,34665,2017,7.2,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki at Outlet,34665,2017,7.3,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 2nd Bluff,34665,2017,7.3,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 1st Bluff,34665,2017,7.3,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki at Outlet,34665,2018,6.4,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 2nd Bluff,34665,2018,6.4,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 1st Bluff,34665,2018,6.4,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki at Outlet,34665,2018,7.8,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 2nd Bluff,34665,2018,7.8,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 1st Bluff,34665,2018,7.8,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki at Outlet,34665,2018,7.9,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 2nd Bluff,34665,2018,7.9,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 1st Bluff,34665,2018,7.9,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki at Outlet,34665,2019,7.3,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 2nd Bluff,34665,2019,7.3,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 1st Bluff,34665,2019,7.3,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki at Outlet,34665,2019,7.8,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 2nd Bluff,34665,2019,7.8,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 1st Bluff,34665,2019,7.8,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki at Outlet,34665,2020,6.5,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 2nd Bluff,34665,2020,6.5,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 1st Bluff,34665,2020,6.5,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki at Outlet,34665,2020,7.3,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 2nd Bluff,34665,2020,7.3,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 1st Bluff,34665,2020,7.3,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki at Outlet,34665,2021,6.7,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 2nd Bluff,34665,2021,6.7,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 1st Bluff,34665,2021,6.7,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki at Outlet,34665,2021,7.4,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 2nd Bluff,34665,2021,7.4,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 1st Bluff,34665,2021,7.4,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki at Outlet,34665,2022,6.5,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 2nd Bluff,34665,2022,6.5,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 1st Bluff,34665,2022,6.5,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki at Outlet,34665,2022,7.4,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 2nd Bluff,34665,2022,7.4,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Whakaki Lake 1st Bluff,34665,2022,7.4,Icoll,Shoreline
Hawke's Bay Regional Council,hawkes bay,Lake Orakai at Jetty,36979,2019,6.3,Polymictic,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Orakai at Jetty,36979,2020,6.6,Polymictic,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Orakai at Jetty,36979,2021,6.7,Polymictic,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Orakai at Jetty,36979,2022,6.5,Polymictic,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Waikopiro Top,36980,2009,4.7,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Waikopiro Top,36980,2010,4.1,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Waikopiro Top,36980,2011,4.5,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Waikopiro Top,36980,2012,4.7,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Waikopiro Top,36980,2013,4.9,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Waikopiro Top,36980,2014,4.3,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Waikopiro Top,36980,2015,4.8,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Waikopiro Top,36980,2016,4.6,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Waikopiro Top,36980,2017,5.6,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Waikopiro Top,36980,2018,5.3,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Waikopiro Top,36980,2019,5,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Waikopiro Top,36980,2020,4.8,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Waikopiro Top,36980,2021,4.5,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Waikopiro Top,36980,2022,4.9,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Tutira Top,36981,2009,4.1,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Tutira Top,36981,2010,3.7,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Tutira Top,36981,2011,4.3,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Tutira Top,36981,2012,4.2,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Tutira Top,36981,2013,4.3,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Tutira Top,36981,2014,3.7,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Tutira Top,36981,2015,3.8,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Tutira Top,36981,2016,4.8,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Tutira Top,36981,2017,5.3,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Tutira Top,36981,2018,4.1,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Tutira Top,36981,2019,3.9,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Tutira Top,36981,2020,3.8,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Tutira Top,36981,2021,3.6,Stratified,Landslide
Hawke's Bay Regional Council,hawkes bay,Lake Tutira Top,36981,2022,3.8,Stratified,Landslide
Horizons Regional Council,manawatu-whanganui,Lake Horowhenua Composite,4345,2014,6.2,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Horowhenua Composite,4345,2015,6.2,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Horowhenua Composite,4345,2016,6.8,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Horowhenua Composite,4345,2017,6.1,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Horowhenua Composite,4345,2018,6.5,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Horowhenua Composite,4345,2019,6.1,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Horowhenua Composite,4345,2020,6.1,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Horowhenua Composite,4345,2021,7.2,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Horowhenua Composite,4345,2022,5.5,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Koputara (Composite),5008,2015,8,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Koputara (Composite),5008,2016,6.8,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Koputara (Composite),5008,2017,6.4,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Koputara (Composite),5008,2018,7.2,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Koputara (Composite),5008,2019,7.8,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Koputara (Composite),5008,2020,7.4,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Koputara (Composite),5008,2021,7,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Koputara (Composite),5008,2022,7.3,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Pukepuke Lagoon (composite),5042,2015,5,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Pukepuke Lagoon (composite),5042,2016,7,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Pukepuke Lagoon (composite),5042,2017,5.7,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Pukepuke Lagoon (composite),5042,2018,6.8,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Pukepuke Lagoon (composite),5042,2019,7,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Pukepuke Lagoon (composite),5042,2020,7.5,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Pukepuke Lagoon (composite),5042,2021,7.1,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Pukepuke Lagoon (composite),5042,2022,6.7,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Omanuka Lagoon Composite,5306,2015,7.2,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Omanuka Lagoon Composite,5306,2016,6.5,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Omanuka Lagoon Composite,5306,2017,6,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Omanuka Lagoon Composite,5306,2018,7.3,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Omanuka Lagoon Composite,5306,2019,5.6,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Omanuka Lagoon Composite,5306,2020,7.2,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Omanuka Lagoon Composite,5306,2021,6.9,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Omanuka Lagoon Composite,5306,2022,6.8,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake William (Composite),13437,2016,5.7,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake William (Composite),13437,2017,5.9,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake William (Composite),13437,2018,6.2,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake William (Composite),13437,2019,5.9,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake William (Composite),13437,2020,6.5,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake William (Composite),13437,2021,6,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake William (Composite),13437,2022,6.2,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Heaton (Composite),13446,2014,6.6,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Heaton (Composite),13446,2015,6.8,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Heaton (Composite),13446,2016,6.9,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Heaton (Composite),13446,2017,6.6,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Heaton (Composite),13446,2018,7,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Heaton (Composite),13446,2019,6.9,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Heaton (Composite),13446,2020,7,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Heaton (Composite),13446,2021,6.5,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Heaton (Composite),13446,2022,7.1,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Dudding (Composite),13447,2014,6.1,Stratified,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Dudding (Composite),13447,2015,4.7,Stratified,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Dudding (Composite),13447,2016,5.4,Stratified,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Dudding (Composite),13447,2017,5.6,Stratified,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Dudding (Composite),13447,2018,5.2,Stratified,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Dudding (Composite),13447,2019,5.5,Stratified,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Dudding (Composite),13447,2020,5.4,Stratified,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Dudding (Composite),13447,2021,5.1,Stratified,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Dudding (Composite),13447,2022,5.5,Stratified,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Alice (Composite),13456,2015,5.6,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Alice (Composite),13456,2016,5.5,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Alice (Composite),13456,2017,6,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Alice (Composite),13456,2018,5.5,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Alice (Composite),13456,2019,6.4,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Alice (Composite),13456,2020,5.9,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Alice (Composite),13456,2021,5.8,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Alice (Composite),13456,2022,7,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Koitiata (composite),16901,2015,4.2,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Koitiata (composite),16901,2016,4.1,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Koitiata (composite),16901,2017,4.3,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Koitiata (composite),16901,2018,4.5,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Koitiata (composite),16901,2019,4.6,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Koitiata (composite),16901,2020,4.5,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Koitiata (composite),16901,2021,4.5,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Koitiata (composite),16901,2022,4.8,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Waipu (composite) ,16939,2016,6.4,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Waipu (composite) ,16939,2017,6.2,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Waipu (composite) ,16939,2018,6.6,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Waipu (composite) ,16939,2019,6.2,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Waipu (composite) ,16939,2020,7,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Waipu (composite) ,16939,2021,6.9,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Waipu (composite) ,16939,2022,6.9,Polymictic,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Kohata (composite),17214,2016,5,Stratified,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Kohata (composite),17214,2017,5.3,Stratified,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Kohata (composite),17214,2018,5.7,Stratified,Aeolian
Horizons Regional Council,manawatu-whanganui,Lake Kohata (composite),17214,2019,5.4,Stratified,Aeolian
